period,planet_radius,semimajor_axis,stellar_radius,stellar_teff,id,planet_name,hue
34.521522032795716,20,0.7,1,1,-588571892,RevisionGraphScene,500050,
31.228605743036738,30,1.1,1,1,-588571892,FileTableRow,200020,
34.18770452543123,15,0.7,1,1,-588571892,ConflictResolverHandler,500050,
27.837575115466326,15,0.3,1,1,-588571892,ConflictAction,400040,
29.325539866161066,30,1.1,1,1,-588571892,HistoryDialog,700070,
30.02498084850665,30,0.7,1,1,-588571892,BranchTask,600060,
21.42569557172986,30,0.3,1,1,-588571892,PropertiesTask,500050,
33.69753532645264,10,0.3,1,1,-588571892,Runnable,300030,
33.62985937609819,30,0.3,1,1,-588571892,RevisionGraph,600060,
28.01381639645258,20,0.5,1,1,-588571892,GraphViewFrame,700070,
28.762610483835658,30,0.3,1,1,-588571892,PropertyHandler,200020,
30.2889627498138,5,0.3,1,1,-588571892,ListSelectionListener,400040,
26.546951417044657,15,0.3,1,1,-588571892,ISVNEventHandler,ffdfffe0,
27.539934730952737,20,0.7,1,1,-588571892,SelectedProperty,200020,
21.14407640405965,5,0.3,1,1,-588571892,PopupMenuProvider,700070,
35.19246930285175,10,0.3,1,1,-588571892,Border,600060,
31.55102942885826,15,0.3,1,1,-588571892,ISVNCommitHandler,300030,
19.25587643039938,30,0.7,1,1,-588571892,FileRowImpl,400040,
34.02264594351482,10,0.3,1,1,-588571892,FilenameFilter,300030,
24.68737520190474,30,0.3,1,1,-588571892,PropertiesDialog,700070,
23.143828223944222,5,0.3,1,1,-588571892,MouseAdapter,300030,
22.280765631492812,30,0.3,1,1,-588571892,SortedListEntry,400040,
18.098997401979368,20,0.3,1,1,-588571892,ActionListener,300030,
37.31376549712438,15,0.3,1,1,-588571892,SwingWorker,500050,
25.29853190941398,10,0.3,1,1,-588571892,Logger,400040,
36.53499058219106,15,0.3,1,1,-588571892,ListSelectionListener,300030,
25.00505473915695,30,1.1,1,1,-588571892,RepoTreeView,600060,
28.048028398238095,25,0.7,1,1,-588571892,GraphView,700070,
23.430435409371253,15,0.3,1,1,-588571892,ActionListener,300030,
23.810745910713376,10,0.3,1,1,-588571892,DefaultTableCellRenderer,500050,
31.26891057956689,15,0.3,1,1,-588571892,ISVNEventHandler,300030,
23.289326861541205,5,0.3,1,1,-588571892,MouseAdapter,300030,
33.5114649976597,30,0.7,1,1,-588571892,SwitchTask,600060,
26.03674236801207,30,0.3,1,1,-588571892,FieldState,200020,
35.11687523410714,30,0.9,1,1,-588571892,HistoryTask,600060,
33.77458302426629,5,0.3,1,1,-588571892,ListSelectionListener,400040,
35.658003488882436,30,0.3,1,1,-588571892,Handler,400040,
19.287354971736256,30,0.3,1,1,-588571892,SSLLoginAuth,300030,
20.02713662356046,30,0.7,1,1,-588571892,CleanupTask,500050,
32.953403398259745,30,0.3,1,1,-588571892,ComboBoxState,300030,
19.477500945844135,5,0.3,1,1,-588571892,DefaultTableModel,300030,
30.772253930531352,10,0.3,1,1,-588571892,Runnable,300030,
19.45246795284828,5,0.3,1,1,-588571892,WindowCloseListener,300030,
33.26201326104504,30,0.7,1,1,-588571892,ResolveTask,600060,
25.65917983612192,20,0.7,1,1,-588571892,URLChooser,600060,
27.522029981868442,5,0.3,1,1,-588571892,JTable,300030,
27.176081757983155,5,0.5,1,1,-588571892,Main,300030,
20.736614076144285,30,0.5,1,1,-588571892,UpdateTask,500050,
30.337677766601345,30,0.3,1,1,-588571892,ActionListener,300030,
20.358580953192313,5,0.3,1,1,-588571892,ComponentAdapter,500050,
35.55516662005999,30,0.5,1,1,-588571892,RevertTask,500050,
31.501709762873144,20,1.1,1,1,-588571892,JIndentTask,600060,
23.44578441318139,30,0.9,1,1,-588571892,MergeTask,500050,
32.206017232407085,20,0.3,1,1,-588571892,TextFieldProperty,300030,
29.840820121969706,30,0.7,1,1,-588571892,Location,400040,
31.45780986550669,20,0.3,1,1,-588571892,RowFilter,ffafffb0,
36.203489588727464,30,0.7,1,1,-588571892,GraphTreeWidget,400040,
25.85857572035669,20,0.3,1,1,-588571892,AnnotationHandler,500050,
23.641028576740958,30,0.9,1,1,-588571892,RepoNodeData,400040,
27.375532566003848,15,0.3,1,1,-588571892,ISVNEventHandler,100010,
37.26534737794032,30,0.9,1,1,-588571892,LoginDialog,600060,
28.57654427076617,30,0.3,1,1,-588571892,SceneSupport,500050,
20.21500468627036,30,0.7,1,1,-588571892,SVNAppView,600060,
23.579500403718924,10,0.3,1,1,-588571892,ActionListener,200020,
27.06673651179535,30,0.3,1,1,-588571892,SelectedState,200020,
34.329419906640716,10,0.3,1,1,-588571892,Logger,400040,
37.45265206139459,5,0.3,1,1,-588571892,ItemListener,300030,
33.27553972373157,20,0.5,1,1,-588571892,AnnotateTask,500050,
28.571887076015017,15,0.3,1,1,-588571892,ISVNEventHandler,300030,
26.747527407035317,30,0.7,1,1,-588571892,SortedListModel,500050,
31.302078068870536,10,0.3,1,1,-588571892,ListSelectionListener,300030,
20.938559502333707,10,0.3,1,1,-588571892,ISVNLogEntryHandler,300030,
19.53260224053499,30,0.7,1,1,-588571892,GraphTask,500050,
33.27906563291671,10,0.3,1,1,-588571892,TreeSelectionListener,300030,
19.661024967608405,30,0.3,1,1,-588571892,ActionListener,300030,
35.436102489726274,30,0.7,1,1,-588571892,FileTableModel,300030,
28.11640942197328,5,0.3,1,1,-588571892,DefaultTableCellRenderer,500050,
18.27904077751857,30,0.7,1,1,-588571892,MultiLineToolTipUI,500050,
25.74475733931305,30,1.1,1,1,-588571892,DiffTask,500050,
31.513932451228584,15,0.3,1,1,-588571892,ISVNEventHandler,300030,
26.356433459484833,5,0.5,1,1,-588571892,Main,300030,
25.979784749582095,30,0.7,1,1,-588571892,AddTask,500050,
22.48338097475215,30,1.3,1,1,-588571892,CommitFrame,600060,
19.115131517225837,10,0.3,1,1,-588571892,SelectProvider,400040,
22.91258112906194,30,0.7,1,1,-588571892,CheckoutTask,600060,
36.30975699419726,20,0.3,1,1,-588571892,ComboBoxProperty,200020,
26.185748682404803,15,0.3,1,1,-588571892,ISVNEventHandler,300030,
28.14305900271649,30,0.3,1,1,-588571892,SceneSupport,500050,
26.914684655675646,20,0.7,1,1,-588571892,SVNAppAboutBox,700070,
21.738057951058657,5,0.3,1,1,-588571892,MouseWheelListener,300030,
36.73502368004483,15,0.5,1,1,-588571892,AnnotateDialog,700070,
29.31112858399593,15,0.3,1,1,-588571892,AbstractAction,400040,
20.983062955356413,10,0.3,1,1,-588571892,ISVNLogEntryHandler,500050,
28.726588365573154,20,0.3,1,1,-588571892,ActionListener,300030,
19.152676779963688,5,0.5,1,1,-588571892,JMeldDiffView,700070,
33.64873690891746,10,0.3,1,1,-588571892,ISVNStatusHandler,300030,
21.290499841986538,5,0.3,1,1,-588571892,ComponentAdapter,500050,
29.970017991709128,10,0.3,1,1,-588571892,Thread,400040,
23.083095661366045,10,0.3,1,1,-588571892,ListSelectionListener,100010,
24.852788163146478,20,0.7,1,1,-588571892,SVNLogger,300030,
32.54195999874592,20,0.7,1,1,-588571892,RevisionGraphScene,500050,
21.195734439712762,20,0.3,1,1,-588571892,ListDataListener,300030,
20.810184338723243,30,0.3,1,1,-588571892,AbstractTableModel,100010,
21.188135912254157,15,0.3,1,1,-588571892,UserPass,500050,
18.00440064227314,10,0.9,1,1,-588571892,FileTableRenderer,400040,
32.48166341241989,30,0.3,1,1,-588571892,RevisionGraph,600060,
31.42025413171227,30,0.7,1,1,-588571892,GraphTree,300030,
21.2478599567197,5,0.3,1,1,-588571892,PopupMenuProvider,700070,
28.018860604035467,10,0.3,1,1,-588571892,KeyAdapter,000000,
22.22936913307221,30,0.7,1,1,-588571892,GraphTreeWidget,400040,
24.672177329196558,10,0.3,1,1,-588571892,SelectProvider,400040,
18.785693110747196,30,0.3,1,1,-588571892,PropertyHandler,300030,
28.170544372268296,15,0.3,1,1,-588571892,Runnable,400040,
32.103066046848085,10,0.3,1,1,-588571892,StreamLogger,400040,
22.02622731176508,30,0.5,1,1,-588571892,UpdateAppTask,500050,
32.62799833487522,30,0.7,1,1,-588571892,HistoryPopupMenu,500050,
37.27993581424929,30,0.3,1,1,-588571892,ColoredOutputStream,400040,
18.412174228574056,20,0.3,1,1,-588571892,PasswordLoginAuth,300030,
31.517181837643157,5,0.3,1,1,-588571892,MouseWheelListener,300030,
19.961593844634724,10,0.3,1,1,-588571892,DefaultTableCellRenderer,500050,
25.009029395994464,10,0.3,1,1,-588571892,StreamLogger,400040,
23.375789749232325,15,0.3,1,1,-588571892,DownloadServiceListener,200020,
36.73521598438038,10,0.3,1,1,-588571892,Runnable,600060,
21.076312600495758,10,0.3,1,1,-588571892,MouseAdapter,500050,
24.751563700863517,30,1.3,1,1,-588571892,SVNApp,400040,
36.6619423275324,15,0.3,1,1,-588571892,AbstractAction,600060,
30.09978411285995,10,0.3,1,1,-588571892,Border,600060,
20.117573009072448,5,0.3,1,1,-588571892,NonExitingJMeldPanel,300030,
30.594708293736936,10,0.3,1,1,-588571892,FilenameFilter,300030,
32.94273461395424,15,0.3,1,1,-588571892,ISVNEventHandler,300030,
26.877112439686236,5,0.5,1,1,-588571892,DiffView,ffdfffe0,
26.97434121913039,5,0.3,1,1,-588571892,JTable,300030,
31.501949472402348,10,0.3,1,1,-588571892,DefaultTableModel,300030,
37.54847447908447,15,0.3,1,1,-588571892,AbstractAction,600060,
20.00112074259045,10,0.3,1,1,-588571892,PropertyChangeListener,500050,
28.0917387266162,5,0.3,1,1,-588571892,PlafMacros,500050,
